8940 errors
1113 warnings

Errors and warnings:

Severity	Code	Description	Project	File	Line	Suppression State
Error	CS0246	The type or namespace name 'Schema' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	479	Active
Error	CS0246	The type or namespace name 'Schema' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	485	Active
Error	CS0246	The type or namespace name 'Schema' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	519	Active
Error	CS0246	The type or namespace name 'SchemaBuilder' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	522	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	29	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	30	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	31	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	32	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	33	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	37	Active
Error	CS0103	The name 'Autodesk' does not exist in the current context	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	37	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	38	Active
Error	CS0103	The name 'Autodesk' does not exist in the current context	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	38	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	39	Active
Error	CS0103	The name 'Autodesk' does not exist in the current context	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	39	Active
Error	CS0246	The type or namespace name 'IExternalApplication' could not be found (are you missing a using directive or an assembly reference?)	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	40	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	APIAppStartup	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\APIAppStartup\CS\AppSample.cs	44	Active
